English,Kokborok
She is not speaking.,Bo rwchap ya.
Why are you laughing?,Nwng bobo kwrwidi monma ong?
He is working in the field.,Bo khuma kamijak ong.
Can you swim in this river?,Nwng bi chimao twima paro do?
I am not understanding.,Ang buima ya.
The moon is up in the sky.,Tal akaso bwkha ong.
She is walking down the road.,Bo lambani khumo thangma ong.
What are you thinking about?,Nwng bobo chintama ong?
I am from Agartala.,Ang Agartalani.
He is not eating rice.,Bo mai chama ya.
Why are you running?,Nwng bobo kwrwidi khuluima ong?
How did you make this?,Nwng bahai bini slaima?
Please give me water.,Angno twi hum.
What language do you speak?,Nwng bobo thum rwchap?
I am working hard.,Ang koktoi kamijak ong.
She is not coming today.,Bo diniwi phiyok ya.
The cat is up on the roof.,Mousa nokni bwkha ong.
He is going down the mountain.,Bo hathaini bwkhasa thangma ong.
What is your brother's name?,Nini bwsani mung bobo?
I am not hungry.,Ang wiwi ya.
How old is your child?,Nini khoroksa bobo bochchor?
Please be quiet.,Thwgwi tong hum.
They are singing a song.,Bwrwi rwma rwma ong.
She can cook well.,Bo kwbango chekma paro.
I am reading a book.,Ang boi poraima ong.
He is not feeling happy.,Bo khuswi malaiwa.
Why are you so quiet?,Nwng bobo kwrwidi thwgwi tong?
How is the food?,Hakchak bahai ong?
Please open the window.,Janela phangkha hum.
What are you looking at?,Nwng bobo naima ong?
I am writing a letter.,Ang chiti swima ong.
She is not angry with you.,Bo nwngno hakchak ya.
My dog's name is Tommy.,Ani suini mung Tommy.
Is the book interesting?,Boi kwbang do?
They are not coming today.,Bwrwi diniwi phiyok ya.
How do you go to work?,Nwng bahai kamino thangma?
Please don't forget.,Paharya hum.
What is your favorite food?,Nini bobo hakchak kwbang?
I am drinking water.,Ang twi unga ong.
She is not talking to me.,Bo angno rwchap ya.
Why are the birds singing?,Twkhwi bobo kwrwidi rwma ong?
He is walking to school.,Bo iskulo thangma ong.
Can you dance?,Nwng mulungma paro do?
I am not going there.,Ang bukhukno thangma ya.
The sun is going down.,Sal bwkhasa thangma ong.
She is coming up the stairs.,Bo singdur bwkha phiyok ong.
What is this place called?,Bi jaga bobo mungma?
I am feeling cold.,Ang nwngma malai ong.
He is not my friend.,Bo ani urumung ya.
Why are you standing here?,Nwng bobo kwrwidi bwini tengma ong?
How do you make this dish?,Nwng bahai bi hakchak slaima?
Please come again.,Wanwi phiyok hum.
What are they cooking?,Bwrwi bobo chekma ong?
I am going to work.,Ang kamino thangma ong.
She is not sleeping yet.,Bo aboni mwtaima ya.
The cat is coming down.,Mousa bwkhasa phiyok ong.
His name is Debbarma.,Boni mung Debbarma.
Is the light on?,Phorang tama do?
They are not working properly.,Bwrwi kwbango kamijak ya.
How much does this cost?,Bini dam bobo?
Please speak louder.,Kwrwng rwchap hum.
What is her name?,Boni mung bobo?
I am planting rice.,Ang mai tuima ong.
She is not at the market.,Bo bazaro ya.
Why are you cleaning now?,Nwng bobo kwrwidi daniwi phangma ong?
He is sitting under the tree.,Bo bwphangni khumo achukma ong.
Can you write in Kokborok?,Nwng Kokboroko swima paro do?
I am not drinking tea.,Ang cha unga ya.
The stars are up in the sky.,Twkhwi akaso bwkha ong.
She is going down to the field.,Bo khumani khumo thangma ong.
What day is today?,Diniwi bobo salo?
I am playing football.,Ang football chelma ong.
He is not talking much.,Bo kwbango rwchap ya.
Why are you wearing that?,Nwng bobo kwrwidi bini chima ong?
How many languages do you know?,Nwng bobo thum mani?
Please call me later.,Angno yari hwn hum.
What are you cooking today?,Nwng diniwi bobo chekma ong?
I am waiting for the bus.,Ang busni tagwi nangyak ong.
She is not working hard.,Bo koktoi kamijak ya.
My village's name is Khumulwng.,Ani nokhaini mung Khumulwng.
Is the market far?,Bazar talwi do?
They are not here today.,Bwrwi diniwi bwini ya.
How can I help you?,Ang bahai nwngno sahaima paro?
Please don't be late.,Dera ma hum.
What is this tree called?,Bi bwphang bobo mungma?
I am collecting firewood.,Ang bwlai khorokma ong.
She is not going to school.,Bo iskulo thangma ya.
Why are you sitting here?,Nwng bobo kwrwidi bwini achukma ong?
He is coming from the farm.,Bo khumani phiyok ong.
Can you lift this?,Nwng bini tonglai paro do?
I am not asking you.,Ang nwngno swima ya.
The bird is flying down.,Twkhwi bwkhasa dwoima ong.
She is climbing up the hill.,Bo hathai bwkha tongma ong.
What is your mother's name?,Nini mamaini mung bobo?
I am eating rice.,Ang mai chama ong.
He is not looking at me.,Bo angno naima ya.
Why are you so happy?,Nwng bobo kwrwidi khuswi ong?
How do you say "thank you" in Kokborok?,Nwng "thank you" Kokboroko bahai rwchap?
Please come early.,Agwi phiyok hum.
What are they building?,Bwrwi bobo slaima ong?
I am feeling sick.,Ang nangphung malai ong.
She is not teaching today.,Bo diniwi poraima ya.
The price is going up.,Dam bwkha thangma ong.
He is looking down at the river.,Bo chimani khumo naima ong.
Is your name Bijoy?,Nini mung Bijoy do?
They are not eating now.,Bwrwi daniwi chama ya.
How did you get here?,Nwng bahai bwini phaiyakha?
Please tell me the truth.,Angno tei rwchap hum.
What is the name of that mountain?,Wa hathaini mung bobo?
I am calling my friend.,Ang ani urumungno hwn ong.
She is not writing the letter.,Bo chiti swima ya.
Why are you afraid?,Nwng bobo kwrwidi khwlaima ong?
He is walking down the hill.,Bo hathaini bwkhasa thangma ong.
Can you count to ten?,Nwng chi bwrwi hwn paro do?
I am not coming tomorrow.,Ang gaba phiyok ya.
The water is going down.,Twi bwkhasa thangma ong.
She is climbing up the ladder.,Bo mwder bwkha tongma ong.
What is inside this box?,Bi bakswi bobo ong?
I am cutting vegetables.,Ang hathai pechama ong.
He is not running fast.,Bo chamungwi khuluima ya.
Why are you so thin?,Nwng bobo kwrwidi harwima ong?
How many children do you have?,Nini bobo khoroksa mani?
Please do not disturb.,Kwchangwa hum.
What are these called in Kokborok?,Bini Kokboroko bobo mungma?
I am staying at home.,Ang nokha tongma ong.
She is not going outside.,Bo bwrwi thangma ya.
The river is flowing down.,Chima bwkhasa thangma ong.
His name is not Mohan.,Boni mung Mohan ya.
Is the school far?,Iskul talwi do?
They are not speaking Kokborok.,Bwrwi Kokborok rwchap ya.
How do you cook this dish?,Nwng bahai bi hakchak chekma?
Please wash your hands.,Nini yakung silaima hum.
What is your phone number?,Nini phone number bobo?
I am visiting my relatives.,Ang ani khoroksano naima ong.
She is not coming with us.,Bo bwrwino phiyok ya.
Why are you wearing a hat?,Nwng bobo kwrwidi tupi chima ong?
He is standing up now.,Bo daniwi bwkha tengma ong.
Can you read this book?,Nwng bi boi poraimu paro do?
I am not going to the market.,Ang bazaro thangma ya.
The leaves are falling down.,Bilai bwkhasa thangma ong.
She is going up to the roof.,Bo nokni bwkha thangma ong.
What is your sister doing?,Nini bwsa bobo kwrwima ong?
I am building a house.,Ang nok slaima ong.
He is not telling the truth.,Bo tei rwchap ya.
Why are you shouting?,Nwng bobo kwrwidi grama ong?
How do you grow rice?,Nwng bahai mai swima?
Please close your eyes.,Nini mokot phatek hum.
What are you selling?,Nwng bobo pechama ong?
I am cleaning the house.,Ang nok phangma ong.
She is not looking well.,Bo kwbango malaiwa.
The prices are going up.,Dam bwkha thangma ong.
His name is very common.,Boni mung kwbango tei.
Is the water cold?,Twi nwngma do?
They are not working today.,Bwrwi diniwi kamijak ya.
How many brothers do you have?,Nini bobo bwsa mani?
Please pass the salt.,Nun pechak hum.
What is this animal called?,Bi mwchang bobo mungma?
I am wearing new clothes.,Ang nwtwi risa chima ong.
She is not speaking English.,Bo English rwchap ya.
Why are you wearing glasses?,Nwng bobo kwrwidi chosma chima ong?
He is walking up the stairs.,Bo singdur bwkha thangma ong.
Can you cook rice?,Nwng mai chekma paro do?
I am not going to school.,Ang iskulo thangma ya.
The moon is coming up.,Tal bwkha phiyok ong.
She is going down to the village.,Bo nokhaini khumo thangma ong.
What is the name of your school?,Nini iskulni mung bobo?
I am sitting on the chair.,Ang kwdalwi achukma ong.
He is not my father.,Bo ani bupha ya.
Why are you crying?,Nwng bobo kwrwidi kadima ong?
How do you make this curry?,Nwng bahai bi tangru slaima?
Please drink some water.,Mwnte twi ung hum.
What are your hobbies?,Nini hobbies bobo?
I am walking home.,Ang nokha thangma ong.
She is not cooking today.,Bo diniwi chekma ya.
The water level is going down.,Twi bwkhasa thangma ong.
Her name is very beautiful.,Boni mung kwbango bugwi.
Is the shop open?,Dokan phangkha do?
They are not listening to music.,Bwrwi musika khnama ya.
How do I say "hello" in Kokborok?,Ang "hello" Kokboroko bahai rwchap?
Please come on time.,Somoyo phiyok hum.
What is that noise?,Wa bobo sade?
I am teaching children.,Ang khoroksano poraima ong.
She is not waiting for me.,Bo angni tagwi nangyak ya.
Why are you looking at me?,Nwng bobo kwrwidi angno naima ong?
He is going up the mountain.,Bo hathai bwkha thangma ong.
Can you speak English?,Nwng English rwchap paro do?
I am not cleaning now.,Ang daniwi phangma ya.
The sun is high up in the sky.,Sal akaso talwi bwkha ong.
She is coming down from the tree.,Bo bwphangni bwkhasa phiyok ong.
What is this made of?,Bi bobo kwrwidi slaima?
I am talking to my friend.,Ang ani urumungno rwchap ong.
He is not playing today.,Bo diniwi chelma ya.
Why are you so early?,Nwng bobo kwrwidi agwi ong?
How do you make this bread?,Nwng bahai bi ruti slaima?
Please bring some water.,Mwnte twi pechak hum.
What are they studying?,Bwrwi bobo poraima ong?
I am cooking rice.,Ang mai chekma ong.
She is not feeling well today.,Bo diniwi kwbango malaiwa.
The price is going down.,Dam bwkhasa thangma ong.
His name is written here.,Boni mung bwini swima ong.
Are you coming to the party?,Nwng partio phiyok ong do?
They are not singing now.,Bwrwi daniwi rwma ya.
How much rice do you need?,Nwng bobo mai nangyak?
Please stand up.,Bwkha teng hum.
What is your dog's name?,Nini suini mung bobo?
I am working in the garden.,Ang baganao kamijak ong.
She is not looking at you.,Bo nwngno naima ya.
Why are you so angry?,Nwng bobo kwrwidi hakchak ong?
He is climbing down the mountain.,Bo hathaini bwkhasa tongma ong.
Can you see the stars?,Nwng twkhwi naima paro do?
I am not eating fish.,Ang ha chama ya.
The water is coming up.,Twi bwkha phiyok ong.
She is going down to the market.,Bo bazarni khumo thangma ong.
What time will you come?,Nwng bobo somoyo phiyok?
I am feeling happy today.,Ang diniwi khuswi malai ong.
He is not taking medicine.,Bo dawai laima ya.
Why are you so late?,Nwng bobo kwrwidi dera ong?
How do you travel to work?,Nwng bahai kamino thangma?
Please wait for me.,Angni tagwi nangyak hum.
What are you reading?,Nwng bobo poraima ong?
I am meeting my teacher.,Ang ani masterno naima ong.
She is not living here.,Bo bwini tongma ya.
The temperature is going up.,Lum bwkha thangma ong.
His name starts with "R".,Boni mung "R" thangma ong.
Is the restaurant open?,Restaurant phangkha do?
They are not working on Sunday.,Bwrwi Robibaro kamijak ya.
How long have you been here?,Nwng bobo somoi bwini ong?
Please sit down here.,Bwini achuk hum.
What is your favorite color?,Nini bobo rong kwbang?
I am cutting trees.,Ang bwphang tongma ong.
She is not watching TV.,Bo TV naima ya.
Why are you so kind?,Nwng bobo kwrwidi mwrwi ong?
He is walking down the street.,Bo lambani khumo thangma ong.
Can you play this game?,Nwng bi khel chelma paro do?
I am not going to the party.,Ang partio thangma ya.
The river is flowing up.,Chima bwkha thangma ong.
She is coming down from the roof.,Bo nokni bwkhasa phiyok ong.
What is this plant called?,Bi bwphang bobo mungma?
I am living in this village.,Ang bi nokhaio tongma ong.
He is not working here.,Bo bwini kamijak ya.
Why are you so quiet today?,Nwng bobo kwrwidi diniwi thwgwi tong?
How do you like the food?,Nwng bahai hakchak khuswi?
Please come with me.,Angno kharing phiyok hum.
What are they building there?,Bwrwi bukhukno bobo slaima ong?
I am learning to swim.,Ang twima hikhma ong.
She is not coming to the meeting.,Bo meetingo phiyok ya.
The moon is up tonight.,Tal horwi bwkha ong.
His name is very long.,Boni mung kwbango tal.
Is the doctor available?,Doctor hamya do?
They are not eating lunch.,Bwrwi talsa chama ya.
How do you make this soup?,Nwng bahai bi jhol slaima?
Please turn off the light.,Phorang wanchaya hum.
What is this festival called?,Bi pwja bobo mungma?
I am watching birds.,Ang twkhwi naima ong.
She is not listening to me.,Bo angno khnama ya.
Why are you so busy?,Nwng bobo kwrwidi bwtwi ong?
He is climbing up the tree.,Bo bwphang bwkha tongma ong.
Can you catch fish?,Nwng ha raima paro do?
I am not reading now.,Ang daniwi poraima ya.
The smoke is going up.,Khuwa bwkha thangma ong.
She is walking down the path.,Bo lambani khumo thangma ong.
What is your father doing?,Nini bupha bobo kwrwima ong?
I am waiting for the rain.,Ang twichwkni tagwi nangyak ong.
He is not growing rice.,Bo mai swima ya.
Why are you so interested?,Nwng bobo kwrwidi achukma ong?
How do you open this box?,Nwng bahai bi baksw phangma?
Please bring my book.,Ani boi pechak hum.
What are they selling?,Bwrwi bobo pechama ong?
I am going to the temple.,Ang mandirot thangma ong.
She is not speaking to him.,Bo bono rwchap ya.
The prices are going down.,Dam bwkhasa thangma ong.
Her name is not Maloti.,Boni mung Maloti ya.
Is the water hot?,Twi lum do?
They are not working properly.,Bwrwi kwbango kamijak ya.
How many languages can you speak?,Nwng bobo thum rwchap paro?
Please wash this plate.,Bi thalwi silaima hum.
What is this instrument called?,Bi baja bobo mungma?
I am playing with children.,Ang khoroksano chelma ong.
She is not happy with the food.,Bo hakchakno khuswi ya.
Why are you so smart?,Nwng bobo kwrwidi buima ong?
He is going down to the river.,Bo chimani khumo thangma ong.
Can you run fast?,Nwng chamungwi khuluima paro do?
I am not buying clothes.,Ang risa braima ya.
The clouds are moving up.,Rwma bwkha thangma ong.
She is coming down the hill.,Bo hathaini bwkhasa phiyok ong.
What is the name of this flower?,Bi bwkhlukni mung bobo?
I am preparing dinner.,Ang horwi chama twiyar ong.
He is not feeling cold.,Bo nwngma malai ya.
Why are you so tired?,Nwng bobo kwrwidi haima ong?
How do you make this tea?,Nwng bahai bi cha slaima?
Please forgive me.,Angno kshamak hum.
What are you writing?,Nwng bobo swima ong?
I am going to the river.,Ang chimao thangma ong.
She is not looking for work.,Bo kamini tagwi naima ya.
The moon is high up in the sky.,Tal akaso talwi bwkha ong.
His name is not correct.,Boni mung thik ya.
Is the school open today?,Iskul diniwi phangkha do?
They are not making noise.,Bwrwi sade kwrwima ya.
How do you prepare this dish?,Nwng bahai bi hakchak twiyar?
Please clean this room.,Bi ghar phangma hum.
What is the name of this game?,Bi khelni mung bobo?
I am talking on the phone.,Ang phono rwchap ong.
She is not eating vegetables.,Bo hathai chama ya.
Why are you so successful?,Nwng bobo kwrwidi saphlwi ong?
He is going up to the roof.,Bo nokni bwkha thangma ong.
Can you drive a car?,Nwng gari chalaima paro do?
I am not feeling hungry.,Ang wiwi malai ya.
The smoke is going down.,Khuwa bwkhasa thangma ong.
She is climbing up the ladder.,Bo mwderni bwkha tongma ong.
What is your job?,Nini bobo kami?
I am painting the wall.,Ang dewal rangma ong.
He is not writing a book.,Bo boi swima ya.
Why are you so confused?,Nwng bobo kwrwidi gothmalai ong?
How do you catch fish?,Nwng bahai ha raima?
Please show me the way.,Angno lamba pechak hum.
What are they building?,Bwrwi bobo slaima ong?
I am working at home.,Ang nokha kamijak ong.
She is not wearing shoes,Bo juta chima ya.
The temperature is going down,Lum bwkhasa thangma ong.
His name is very short,Boni mung kwbango chwkma.
wearing,chima
We are walking to school.,Bwrwi iskulo thangma ong.
The children are playing outside.,Khoroksa bwrwi chelma ong.
I cannot understand Kokborok.,Ang Kokborok buima paro ya.
She lives in the village.,Bo nokhaio tongma ong.
He is cooking rice for dinner.,Bo horwini tagwi mai chekma ong.
Are you coming to the market?,Nwng bazaro phiyok ong do?
They are not listening to us.,Bwrwi bwrwino khnama ya.
My brother is very tall.,Ani bwsa kwbango tal.
The water is very cold today.,Twi diniwi kwbango nwngma.
I am planting vegetables in the garden.,Ang baganao hathai tuima ong.
Where are you going?,Nwng bubo thangma ong?
She is writing a letter to her mother.,Bo bobo mamaino chiti swima ong.
He cannot swim in the river.,Bo chimao twima paro ya.
The food is very delicious.,Hakchak kwbango mainwima.
We are not working today.,Bwrwi diniwi kamijak ya.
Are they learning Kokborok?,Bwrwi Kokborok hikhma ong do?
I am watching the birds fly.,Ang twkhwi dwoima naima ong.
She doesn't speak English well.,Bo English kwbango rwchap ya.
My father works in the field.,Ani bupha khumao kamijak ong.
Can you help me carry this bag?,Nwng angno bi bag tonglaima sahaima paro do?
The rain is coming down heavily.,Twichwk kwbango bwkhasa phiyok ong.
We are eating dinner together.,Bwrwi kharing horwi chama ong.
They are building a new house.,Bwrwi nwtwi nok slaima ong.
I cannot find my keys.,Ang ani chabi hamya paro ya.
She is teaching the children Kokborok.,Bo khoroksano Kokborok poraima ong.
He is listening to traditional music.,Bo paramparik musika khnama ong.
The tree is very tall.,Bwphang kwbango tal.
Are you feeling sick today?,Nwng diniwi nangphung malai ong do?
We are going to the river to fish.,Bwrwi chimao ha raima thangma ong.
They are not coming to the festival.,Bwrwi pwjao phiyok ya.
I am learning to speak Kokborok.,Ang Kokborok rwchap hikhma ong.
She cannot climb the mountain.,Bo hathai tongma paro ya.
My mother is cooking fish curry.,Ani mamai ha tangru chekma ong.
The flowers are blooming in the garden.,Bwkhluk baganao phangma ong.
We are reading books together.,Bwrwi kharing boi poraima ong.
Is your father at home?,Nini bupha nokha ong do?
They are washing clothes in the river.,Bwrwi chimao risa silaima ong.
I am selling fruits in the market.,Ang bazaro bithi pechama ong.
She is not feeling well today.,Bo diniwi kwbango malaiwa.
He is cutting wood for the fire.,Bo wani tagwi bwlai tongma ong.
The village is far from here.,Nokhai bwnini kwbango tal.
Are you waiting for someone?,Nwng swkni tagwi nangyak ong do?
We are not ready for the journey.,Bwrwi thangmani tagwi twiyar ya.
They are singing traditional songs.,Bwrwi paramparik rwma rwma ong.
I cannot speak Kokborok well.,Ang Kokborok kwbango rwchap paro ya.
She is cleaning the house today.,Bo diniwi nok phangma ong.
My son is studying in the city.,Ani khoroksa saharo poraima ong.
The dog is sleeping under the tree.,Sui bwphangni khumo mwtaima ong.
We are planting rice in the field.,Bwrwi khumao mai tuima ong.
Are they building a new school?,Bwrwi nwtwi iskul slaima ong do?
I am making bamboo baskets.,Ang wakhuk slaima ong.
She cannot come tomorrow.,Bo gaba phiyok paro ya.
He is teaching the students English.,Bo studentno English poraima ong.
The road to the village is muddy.,Nokhaini lamba kotorma ong.
Are you selling these vegetables?,Nwng bi hathai pechama ong do?
We are not buying new clothes.,Bwrwi nwtwi risa braima ya.
They are cooking dinner for us.,Bwrwi bwrwini tagwi horwi chama chekma ong.
I am feeling tired after work.,Ang kami yano hai malai ong.
She is weaving a traditional cloth.,Bo paramparik risa chima ong.
My grandmother knows many stories.,Ani bwrwi kwbango katha mani.
The children are playing in the rain.,Khoroksa twichwko chelma ong.
We are going to the temple to pray.,Bwrwi mandirot prarthana kwrwima thangma ong.
Are they bringing food for the feast?,Bwrwi pwjani tagwi hakchak pechakma ong do?
I cannot understand what you are saying.,Ang nwng bobo rwchapma buima paro ya.
She is teaching dance to the girls.,Bo bwsano mulungma poraima ong.
He is not feeling happy about the news.,Bo khabarni barai khuswi malai ya.
The river flows down to the valley.,Chima tamtharni khumo thangma ong.
Are you coming to the meeting tomorrow?,Nwng gaba meetingo phiyok ong do?
We are harvesting rice this week.,Bwrwi bi hafta mai tongma ong.
They are celebrating a traditional festival.,Bwrwi paramparik pwja manchaima ong.
I am learning to play the traditional instrument.,Ang paramparik baja bajama hikhma ong.
She cannot understand the old language.,Bo purono thum buima paro ya.
My sister is making traditional food.,Ani bwsa paramparik hakchak slaima ong.
The birds are building nests in the tree.,Twkhwi bwphango ba slaima ong.
We are collecting firewood from the forest.,Bwrwi burumani bwlai khorokma ong.
Are they fishing in the river today?,Bwrwi diniwi chimao ha raima ong do?
I am going to the city to work.,Ang saharo kamijak thangma ong.
She is not coming to the wedding.,Bo biyano phiyok ya.
He is planting trees in the village.,Bo nokhaio bwphang tuima ong.
The sky is getting dark.,Akas andharima ong.
Are you listening to what I am saying?,Nwng ang bobo rwchapma khnama ong do?
We are not going to the market today.,Bwrwi diniwi bazaro thangma ya.
They are making baskets from bamboo.,Bwrwi wakhuk wani slaima ong.
I cannot climb that tall tree.,Ang wa tal bwphang tongma paro ya.
She is teaching the children how to read.,Bo khoroksano bahai poraima hikhma poraima ong.
My father is hunting in the forest.,Ani bupha burumao mwchang gai thangma ong.
The cows are grazing in the field.,Mushuk khumao gai chama ong.
We are cooking traditional food for the festival.,Bwrwi pwjani tagwi paramparik hakchak chekma ong.
Are they bringing water from the well?,Bwrwi kuani twi pechakma ong do?
I am going to the doctor today.,Ang diniwi doctoro thangma ong.
She cannot work in the field anymore.,Bo aboni khumao kamijak paro ya.
He is reading a book about Kokborok.,Bo Kokborok baraini boi poraima ong.
The moon is shining brightly tonight.,Tal horwi kwbango phorang ong.
Are you coming to the wedding ceremony?,Nwng biya manchaimao phiyok ong do?
We are learning traditional dances.,Bwrwi paramparik mulungma hikhma ong.
They are not singing traditional songs anymore.,Bwrwi aboni paramparik rwma rwma ya.
I am making tea for everyone.,Ang swkni tagwi cha slaima ong.
She is carrying water from the river.,Bo chimani twi hoimaima ong.
My mother knows how to weave baskets.,Ani mamai bahai wakhuk swima mani.
The children are swimming in the pond.,Khoroksa pukurio twima ong.
We are going to visit our relatives.,Bwrwi ani khoroksano naima thangma ong.
Are they bringing gifts for the children?,Bwrwi khoroksani tagwi uphar pechakma ong do?
I cannot understand the elder's language.,Ang bwrwini thum buima paro ya.
She is cooking fish for lunch.,Bo talsa chamani tagwi ha chekma ong.
He is not going to the field today.,Bo diniwi khumao thangma ya.
The wind is blowing strongly.,Bar kwbango baima ong.
Are you selling your old bicycle?,Nwng nini purono cycle pechama ong do?
We are repairing the roof of our house.,Bwrwi ani nokni bwkha maramma ong.
They are cutting bamboo in the forest.,Bwrwi burumao wa tongma ong.
I am going to learn traditional medicine.,Ang paramparik dawai hikhma thangma ong.
She cannot speak the tribal language.,Bo janajati thum rwchap paro ya.
My grandmother is telling a story.,Ani bwrwi katha swima ong.
The dog is barking at strangers.,Sui oborni manino gramak ong.
We are collecting fruits from the garden.,Bwrwi baganani bithi khorokma ong.
Are they building a community hall?,Bwrwi community hall slaima ong do?
I am not feeling well since morning.,Ang sakhalthani kwbango malaiwa.
She is teaching the traditional way of cooking.,Bo paramparik chekma niyom poraima ong.
He is carrying a heavy load on his head.,Bo boni bokotho gorwi har hoima ong.
The cat is climbing up the tree.,Mousa bwphang bwkha tongma ong.
Are you coming to the cultural program?,Nwng cultural programo phiyok ong do?
We are not celebrating the festival this year.,Bwrwi bi borcho pwja manchai ya.
They are planting rice seedlings.,Bwrwi mai gasli tuima ong.
I cannot understand the old stories.,Ang purono katha buima paro ya.
She is making traditional jewelry.,Bo paramparik gahona slaima ong.
My brother is hunting in the mountains.,Ani bwsa hathaio mwchang gai thangma ong.
The women are weaving traditional clothes.,Bwsa paramparik risa wahma ong.
We are going to the river for washing clothes.,Bwrwi chimao risa silaimani thangma ong.
Are they bringing traditional musical instruments?,Bwrwi paramparik baja pechakma ong do?
I am learning to make traditional food.,Ang paramparik hakchak slaima hikhma ong.
She cannot come to the meeting today.,Bo diniwi meetingo phiyok paro ya.
He is teaching the children traditional games.,Bo khoroksano paramparik khel poraima ong.
The field is ready for planting.,Khuma tuimani tagwi twiyar ong.
Are you selling homemade products?,Nwng nokha slaima jinis pechama ong do?
We are not going to the city tomorrow.,Bwrwi gaba saharo thangma ya.
They are making traditional medicine from herbs.,Bwrwi jori butini paramparik dawai slaima ong.
I cannot speak the dialect of this village.,Ang bi nokhaini thum rwchap paro ya.
She is teaching traditional values to children.,Bo khoroksano paramparik mulyo poraima ong.
My father knows how to read the stars.,Ani bupha bahai twkhwi poraima mani.
The elders are telling stories to children.,Bwrwi khoroksano katha swima ong.
We are celebrating the harvest festival.,Bwrwi mai tongma pwja manchaima ong.
Are they bringing traditional food to the feast?,Bwrwi pwjani tagwi paramparik hakchak pechakma ong do?
I am going to the forest to collect herbs.,Ang burumao jori buti khorokmani tagwi thangma ong.
She cannot understand the old traditions.,Bo purono paramparik buima paro ya.
He is fishing in the traditional way.,Bo paramparik khamjongo ha raima ong.
The village head is calling a meeting.,Nokhai mukhia meeting hwn ong.
Are you coming to the cultural dance?,Nwng cultural mulungmao phiyok ong do?
We are not working in the fields this season.,Bwrwi bi rituo khumao kamijak ya.
They are building a traditional house.,Bwrwi paramparik nok slaima ong.
I cannot climb the steep hill.,Ang shada hathai tongma paro ya.
She is teaching the art of storytelling.,Bo katha swima kala poraima ong.
My mother knows how to make traditional medicine.,Ani mamai bahai paramparik dawai slaima mani.
The birds are singing in the morning.,Twkhwi sakhalthani rwma ong.
We are collecting rainwater for drinking.,Bwrwi ungmani tagwi twichwk khorokma ong.
Are they bringing musical instruments to the ceremony?,Bwrwi manchaimao baja pechakma ong do?
I am learning traditional fishing methods.,Ang paramparik ha raima paddhati hikhma ong.
She cannot understand why the river is drying up.,Bo bobo kwrwidi chima sukwima buima paro ya.
He is teaching traditional farming techniques.,Bo paramparik khuma khamjaknap poraima ong.
The forest is full of medicinal plants.,Buruma jori butiwi gang ong.
Are you going to the sacred grove?,Nwng pavitra burumao thangma ong do?
We are not cutting down the sacred tree.,Bwrwi pavitra bwphang tongma ya.
They are performing traditional dances.,Bwrwi paramparik mulungma kwrwima ong.
I cannot understand the sacred texts.,Ang pavitra swima buima paro ya.
She is making offerings to the ancestors.,Bo purvajo pugamo pechakma ong.
My grandfather knows many healing herbs.,Ani ata kwbango nirokmani jori buti mani.
The children are learning the traditional language.,Khoroksa paramparik thum hikhma ong.
We are going to the sacred river.,Bwrwi pavitra chimao thangma ong.
Are they celebrating the new year festival?,Bwrwi nwtwi borcho pwja manchaima ong do?
I am going to the elder's house for advice.,Ang bwrwini nokno montronani tagwi thangma ong.
She cannot understand the meaning of the ritual.,Bo ritualani ortho buima paro ya.
He is preparing for the traditional wrestling match.,Bo paramparik kushti khurani tagwi twiyar ong.
The hills are covered with fog today.,Hathai diniwi kutumo phakma ong.
Are you collecting traditional seeds for planting?,Nwng tuimani tagwi paramparik bij khorokma ong do?
We are not forgetting our traditional customs.,Bwrwi ani paramparik niyom paharwa ya.
They are making offerings to the forest spirits.,Bwrwi buruma devtano pugamo pechakma ong.
I cannot interpret the elder's dream.,Ang bwrwini swpno byakhya kwrwima paro ya.
She is teaching the art of traditional healing.,Bo paramparik nirokmani kala poraima ong.
My grandmother knows how to predict the weather.,Ani bwrwi bahai barsa anuman kwrwima mani.
The village elders are discussing community issues.,Nokhai bwrwi community bishayni barai alochona kwrwima ong.
We are celebrating the birth of a new child.,Bwrwi nwtwi khoroksa jonmani manchaima ong.
Are they bringing offerings to the temple?,Bwrwi mandirot pugamo pechakma ong do?
I am learning to recognize medicinal plants.,Ang jori buti chinhima hikhma ong.
She cannot understand the meaning of the sacred songs.,Bo pavitra rwmani ortho buima paro ya.
He is preparing traditional medicines for the sick.,Bo nangphungni tagwi paramparik dawai twiyar ong.
The moon festival will start tomorrow.,Tal pwja gaba thangjakma ong.
Are you going to the community meeting?,Nwng community meetingo thangma ong do?
We are not breaking the traditional rules.,Bwrwi paramparik niyom bhangma ya.
They are weaving baskets for the harvest.,Bwrwi mai tongmani tagwi wakhuk wahma ong.
I cannot understand the symbolic patterns.,Ang pratikko ruprekha buima paro ya.
She is teaching the traditional calendar system.,Bo paramparik calendar paddhati poraima ong.
My father knows how to navigate using the stars.,Ani bupha bahai twkhwi khumo path mani.
The elders are blessing the new house.,Bwrwi nwtwi nokno ashirvad ong.
We are going to the sacred mountain.,Bwrwi pavitra hathaio thangma ong.
Are they bringing traditional clothes for the ceremony?,Bwrwi manchaimani tagwi paramparik risa pechakma ong do?
I am learning to recognize the signs of nature.,Ang prakriti chinhobo chinhima hikhma ong.
